disputeId,type,tier,expectedWinner,actualWinner,correct,openGas,resolveGas,totalGas,resolutionTimeMinutes
1,LateDelivery,Tier1,buyer,buyer,true,144410,59642,204052,5
2,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
3,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
4,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
5,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
6,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
7,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
8,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
9,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
10,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
11,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
12,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
13,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
14,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
15,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
16,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
17,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
18,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
19,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
20,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
21,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
22,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
23,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
24,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
25,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
26,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
27,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
28,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
29,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
30,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
31,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
32,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
33,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
34,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
35,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
36,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
37,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
38,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
39,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
40,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
41,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
42,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
43,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
44,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
45,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
46,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
47,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
48,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
49,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
50,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
51,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
52,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
53,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
54,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
55,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
56,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
57,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
58,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
59,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
60,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
61,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
62,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
63,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
64,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
65,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
66,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
67,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
68,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
69,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
70,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
71,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
72,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
73,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
74,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
75,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
76,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
77,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
78,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
79,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
80,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
81,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
82,LateDelivery,Tier1,buyer,buyer,true,127310,59642,186952,5
