disputeId,type,tier,expectedWinner,actualWinner,correct,tier2Winner,tier2Correct,openGas,resolveGas,enforceGas,totalGas,configuredWindowMinutes,arbitratorCount,expertCount,appealed
1,2,2,1,1,Yes,1,Yes,318199,845273,33086,1196558,2880,3,0,No
2,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
3,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
4,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
5,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
6,2,3,2,2,Yes,2,Yes,301099,2284634,33235,2618968,5760,3,5,Yes
7,3,2,2,2,Yes,2,Yes,301099,828220,33086,1162405,2880,3,0,No
8,3,2,1,1,Yes,1,Yes,301099,852042,33086,1186227,2880,3,0,No
9,2,2,1,1,Yes,1,Yes,301099,834942,33086,1169127,2880,3,0,No
10,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
11,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
12,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
13,2,2,2,1,No,1,No,301099,828173,33086,1162358,2880,3,0,No
14,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
15,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
16,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
17,4,1,1,1,Yes,,,301099,57955,32937,391991,0,0,0,No
18,4,1,1,1,Yes,,,301099,57955,32937,391991,0,0,0,No
19,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
20,3,2,1,2,No,2,No,301099,811120,33086,1145305,2880,3,0,No
21,2,3,1,1,Yes,1,Yes,301099,2181679,33235,2516013,5760,3,5,Yes
22,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
23,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
24,2,2,1,1,Yes,1,Yes,301099,828173,33086,1162358,2880,3,0,No
25,3,2,1,1,Yes,1,Yes,301099,811073,33086,1145258,2880,3,0,No
26,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
27,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
28,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
29,2,3,2,2,Yes,2,Yes,301099,2171731,33235,2506065,5760,3,5,Yes
30,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
31,2,2,1,1,Yes,1,Yes,301099,817842,33086,1152027,2880,3,0,No
32,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
33,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
34,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
35,2,3,2,2,Yes,2,Yes,301099,2171731,33235,2506065,5760,3,5,Yes
36,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
37,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
38,2,3,2,2,Yes,2,Yes,301099,2171731,33235,2506065,5760,3,5,Yes
39,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
40,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
41,2,2,1,1,Yes,1,Yes,301099,817842,33086,1152027,2880,3,0,No
42,3,2,1,1,Yes,1,Yes,301099,811073,33086,1145258,2880,3,0,No
43,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
44,2,2,2,2,Yes,2,Yes,301099,817917,33086,1152102,2880,3,0,No
45,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
46,3,2,2,2,Yes,2,Yes,301099,817917,33086,1152102,2880,3,0,No
47,2,2,2,1,No,1,No,301099,811073,33086,1145258,2880,3,0,No
48,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
49,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
50,2,2,1,1,Yes,1,Yes,301099,811073,33086,1145258,2880,3,0,No
51,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
52,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
53,2,2,2,1,No,1,No,301099,811073,33086,1145258,2880,3,0,No
54,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
55,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
56,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
57,2,2,2,2,Yes,2,Yes,301099,817917,33086,1152102,2880,3,0,No
58,2,3,1,1,Yes,1,Yes,301099,2171553,33235,2505887,5760,3,5,Yes
59,2,3,2,2,Yes,2,Yes,301099,2164729,33235,2499063,5760,3,5,Yes
60,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
61,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
62,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
63,2,2,1,1,Yes,1,Yes,301099,811073,33086,1145258,2880,3,0,No
64,2,3,2,2,Yes,2,Yes,301099,2171731,33235,2506065,5760,3,5,Yes
65,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
66,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
67,3,3,2,2,Yes,1,No,301099,2157885,33235,2492219,5760,3,5,Yes
68,3,2,1,1,Yes,1,Yes,301099,817842,33086,1152027,2880,3,0,No
69,2,3,2,2,Yes,1,No,301099,2164887,33235,2499221,5760,3,5,Yes
70,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
71,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
72,2,3,2,2,Yes,2,Yes,301099,2157932,33235,2492266,5760,3,5,Yes
73,3,2,2,2,Yes,2,Yes,301099,811120,33086,1145305,2880,3,0,No
74,2,2,1,1,Yes,1,Yes,301099,811073,33086,1145258,2880,3,0,No
75,1,1,1,1,Yes,,,301099,60480,32937,394516,0,0,0,No
76,2,3,2,2,Yes,2,Yes,301099,2171731,33235,2506065,5760,3,5,Yes
77,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
78,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
79,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
80,2,2,2,2,Yes,2,Yes,301099,811120,33086,1145305,2880,3,0,No
81,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
82,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
83,3,2,2,2,Yes,2,Yes,301099,817917,33086,1152102,2880,3,0,No
84,2,3,2,2,Yes,2,Yes,301099,2164729,33235,2499063,5760,3,5,Yes
85,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
86,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
87,3,3,1,1,Yes,1,Yes,301099,2171553,33235,2505887,5760,3,5,Yes
88,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
89,0,1,1,1,Yes,,,281187,60314,32937,374438,0,0,0,No
90,2,3,2,2,Yes,2,Yes,301099,2164729,33235,2499063,5760,3,5,Yes
91,2,3,2,2,Yes,2,Yes,301099,2164934,33235,2499268,5760,3,5,Yes
92,4,1,2,2,Yes,,,301099,60324,32937,394360,0,0,0,No
93,2,3,2,2,Yes,2,Yes,301099,2157932,33235,2492266,5760,3,5,Yes
94,1,1,2,2,Yes,,,301099,58111,32937,392147,0,0,0,No
95,0,1,2,2,Yes,,,281187,57945,32937,372069,0,0,0,No
